,team,lookup
0,Double Edge,held catch
1,,grey exaltation
2,LAX CrossFit,berry squad
3,Get Lifted,better unit
4,Fit Club,clover clowder
5,Reebok CrossFit 33100,lightning bunch
6,New Species CrossFit,organic thunder
7,CrossFit South Shore LI,incandescent phalanx
8,CrossFit Training Yard,silken business
9,Cape CrossFit Wolfpack,polished orchestra
10,En Fuego FireBreathers,humane pace
11,CrossFit Rapture,enormous cloud
12,CrossFit South Brooklyn,intriguing party
13,Crossfit St Marys,defiant camp
14,CrossFit 212,sunrise pandemonium
15,CrossFit Fresno,regal order
16,Shark Mode,invited camp
17,CrossFit Rome,coordinated intrigue
18,Calibrated CrossFit,ahead party
19,CrossFit Newmarket Central,odd kettle
20,RNCF,familiar convocation
21,Crossfit Soulshine,faceted swarm
22,Koda CrossFit,bemused sloth
23,On Track,dent convocation
24,First Coast CrossFit,autumn sentence
25,Woodward CrossFit,working tower
26,TheLAB - Eastlake CrossFit,olive bevy
27,SAKred Strength,clear scoop
28,CrossFit Tactical Strength,charm alliance
29,SinCity CrossFit,lively murmuration
30,L'usine CrossFit,almond school
31,CrossFit The Point,deserted shiver
32,CrossFit Round Rock,lovely sloth
33,CrossFit Kaiju,bitter phalanx
34,Crossfit Newps,sleet band
35,Rhino Comp Team,burly raffle
36,CrossFit Solano,unleashed knot
37,CrossFit Surge,translucent building
38,CrossFit NCR,alike faction
39,BCF Bulldogs,bright gaggle
40,CrossFit West Essex,playful sedge
41,Brethren CrossFit,legend clan
42,Crossfit Adrenaline,ionian faction
43,CrossFit Asheville,destiny rookery
44,Crossfit Sandy,pinnate scream
45,CrossFit TSAC,tender crew
46,CrossFit 4810,debonair thunder
47,West Haven CrossFit,ambiguous sloth
48,Iron Bridge CrossFit,enormous troupe
49,Crossfit Sprag,whip knot
50,CrossFit Wollongong,tested class
51,CrossFit Plymouth,pushy alliance
52,CFT Thunder,translucent flight
53,Pike Road Patriots,scratched suit
54,BUDZ BOOT CAMP 2015,orchid party
55,CrossFit Boynton Beach,cake piteousness
56,CrossFit Lakewood,flint phalanx
57,Crossfit HD,sparkly parliament
58,CrossFit Meilen,polar cackle
59,Reebok CrossFit KATLA,heliotrope team
60,CrossFit Reston,mixed flock
61,CrossFit AMRAP,splashy lineup
62,Westbound CrossFit,smart sedge
63,CrossFit Fairfax,sleepy team
64,Will Rise,necessary wisdom
65,CrossFit NST,brief ostentation
66,CrossFit Undaunted,wandering mustering
67,CrossFit Reykjavík,sugary whiting
68,Timberwolf Pup Pack,surf family
69,CrossFit Refuge,dune jury
70,CrossFit Construct,fortune school
71,CrossFit Lodi,translucent building
72,CrossFit Turicum All Stars,shared faction
73,Crossfit Evermore,sugar parade
74,Basin MisFits,incredible brood
75,CrossFit Metalize,achieved corporation
76,CrossFit Örebro,ripple convocation
77,CrossFit IBEX,alert gaggle
78,CrossFit Homer Glen,reminiscent cast
79,Crossfit Deux,tough lineup
80,Team CFWY integrity,dent colony
81,CrossFit Herttoniemi,quill cloud
82,Power Cat CrossFit,balsam catch
83,domin845,antique bale
84,CrossFit 808,slash pride
85,CrossFit Lombard Ave,dog chime
86,NorthEast CrossFit,difficult whisp
87,CrossFit Polaris,precious descent
